timestamp,open,high,low,close,volume
1757451600000,111525.2,111725.6,111255.9,111294.8,185.282367
1757455200000,111294.8,111635.9,111251.9,111555.5,119.67805
1757458800000,111555.5,111578.0,111353.7,111540.7,140.341483
1757462400000,111540.7,111569.1,110934.2,111011.0,302.67225
1757466000000,111011.0,111219.4,110919.1,111011.0,307.597137
1757469600000,111011.0,111559.8,111011.0,111416.2,349.878839
1757473200000,111416.2,111591.3,111372.6,111542.6,209.159812
1757476800000,111542.6,111649.0,111401.8,111528.3,169.277827
1757480400000,111528.3,111721.4,111370.6,111584.3,259.912124
1757484000000,111584.3,111964.0,111400.3,111791.9,312.087418
1757487600000,111791.9,112588.4,111759.6,112545.4,439.554759
1757491200000,112545.4,112850.7,112320.0,112371.1,657.896559
1757494800000,112371.1,112426.7,112097.2,112259.8,368.585682
1757498400000,112259.8,112423.8,112188.8,112247.4,221.441715
1757502000000,112247.4,112392.8,112128.8,112288.6,264.935497
1757505600000,112288.6,113536.6,112288.6,113420.4,1286.793214
1757509200000,113420.4,114304.2,113375.7,113948.6,1409.150871
1757512800000,113948.6,114264.4,113806.6,113905.2,768.865313
1757516400000,113905.2,114103.7,113713.4,113868.6,697.692253
1757520000000,113868.6,113947.2,113571.5,113757.0,349.024666
1757523600000,113757.0,114069.8,113412.5,113725.4,446.1906
1757527200000,113725.4,113882.7,113350.0,113579.0,448.992383
1757530800000,113579.0,113622.6,113142.7,113565.1,436.633118
1757534400000,113565.1,113944.9,113547.3,113560.7,365.589912
1757538000000,113560.7,113841.0,113523.7,113828.1,184.101737
1757541600000,113828.1,113986.0,113707.7,113872.9,226.911364
1757545200000,113872.9,114012.8,113775.8,113945.5,270.387923
1757548800000,113945.5,113996.1,113672.4,113879.6,199.811688
1757552400000,113879.6,114182.6,113827.4,113905.8,154.218199
1757556000000,113905.8,113958.7,113723.6,113828.0,128.087479
1757559600000,113828.0,114432.9,113823.8,114395.3,240.918251
1757563200000,114395.3,114399.5,114079.4,114158.3,204.178504
1757566800000,114158.3,114331.4,113964.4,114259.1,229.760013
1757570400000,114259.1,114457.9,114071.1,114322.8,173.247746
1757574000000,114322.8,114325.5,113939.9,114072.7,267.038416
1757577600000,114072.7,114197.2,113953.0,114043.9,179.007658
1757581200000,114043.9,114066.7,113777.0,113891.1,222.387637
1757584800000,113891.1,114107.3,113879.2,114052.7,201.120136
1757588400000,114052.7,114109.0,113897.2,114002.7,195.235885
1757592000000,114002.7,114538.1,113400.0,113981.6,1418.89312
1757595600000,113981.6,114726.4,113422.0,114634.7,923.930832
1757599200000,114634.7,114674.1,113923.7,114460.6,663.003612
1757602800000,114460.6,114691.6,114004.0,114178.7,464.112356
1757606400000,114178.7,114586.3,114178.7,114486.9,373.487138
1757610000000,114486.9,114606.5,114335.7,114589.5,274.721752
1757613600000,114589.5,114611.1,114103.4,114314.6,232.379118
